in:Design,in:Glazing ratio,out:Amount of surface energy loss [kWh/m2],out:EUI (SI) (kWh/m2),out:Annual Utility Cost (Euro/m2),out:Percentage of Time Comfortable,out:Percentage of Time Too Hot,out:Percentage of Time Too Cold,out:Amount of Lux average,_Exterior View,_Interior View
Variant 3,75%,0.045,1886.127917,230.830831,62.71,5.87,31.42,449.66,DesignVariant3_Glazingratio75__Perspective.png,DesignVariant3_Glazingratio75__Parallel.png
Variant 4,75%,0.146,3200.150176,417.07055,69.92,5.49,24.59,449.6,DesignVariant4_Glazingratio75__Perspective.png,DesignVariant4_Glazingratio75__Parallel.png
Variant 5,75%,0.052,2235.053415,309.281617,65.57,1.45,32.98,655.43,DesignVariant5_Glazingratio75__Perspective.png,DesignVariant5_Glazingratio75__Parallel.png
Variant 1,80%,0.084,2175.65732,271.973617,63.48,6.83,29.7,488.38,DesignVariant1_Glazingratio80__Perspective.png,DesignVariant1_Glazingratio80__Parallel.png
Variant 2,80%,0.171,3629.102379,477.123902,68.83,6.05,25.12,500.09,DesignVariant2_Glazingratio80__Perspective.png,DesignVariant2_Glazingratio80__Parallel.png
Variant 3,80%,0.048,1969.634186,242.52171,62.56,6,31.44,471.01,DesignVariant3_Glazingratio80__Perspective.png,DesignVariant3_Glazingratio80__Parallel.png
Variant 4,80%,0.158,3384.870293,442.931366,69.29,5.81,24.9,486.23,DesignVariant4_Glazingratio80__Perspective.png,DesignVariant4_Glazingratio80__Parallel.png
Variant 5,80%,0.057,2378.230908,329.326466,65.45,1.78,32.77,710.96,DesignVariant5_Glazingratio80__Perspective.png,DesignVariant5_Glazingratio80__Parallel.png
Variant 1,85%,0.091,2281.175744,286.746196,63.22,7.02,29.75,517.5,DesignVariant1_Glazingratio85__Perspective.png,DesignVariant1_Glazingratio85__Parallel.png
Variant 2,85%,0.184,3833.54701,505.746151,68.24,6.32,25.45,546.79,DesignVariant2_Glazingratio85__Perspective.png,DesignVariant2_Glazingratio85__Parallel.png
Variant 3,85%,0.051,2055.926328,254.60261,62.36,6.12,31.52,495.24,DesignVariant3_Glazingratio85__Perspective.png,DesignVariant3_Glazingratio85__Parallel.png
Variant 4,85%,0.17,3575.738698,469.652944,68.74,6.14,25.12,531.53,DesignVariant4_Glazingratio85__Perspective.png,DesignVariant4_Glazingratio85__Parallel.png
Variant 5,85%,0.074,2525.004503,349.874769,65.29,2.07,32.65,773.89,DesignVariant5_Glazingratio85__Perspective.png,DesignVariant5_Glazingratio85__Parallel.png
Variant 1,90%,0.096,2386.908394,301.548768,62.95,7.16,29.89,549.81,DesignVariant1_Glazingratio90__Perspective.png,DesignVariant1_Glazingratio90__Parallel.png
Variant 2,90%,0.198,4048.198502,535.79736,67.65,6.64,25.71,601.77,DesignVariant2_Glazingratio90__Perspective.png,DesignVariant2_Glazingratio90__Parallel.png
Variant 3,90%,0.054,2143.380116,266.84614,62.14,6.28,31.58,524.41,DesignVariant3_Glazingratio90__Perspective.png,DesignVariant3_Glazingratio90__Parallel.png
Variant 4,90%,0.183,3771.458337,497.053692,68.15,6.44,25.41,585.01,DesignVariant4_Glazingratio90__Perspective.png,DesignVariant4_Glazingratio90__Parallel.png
Variant 5,90%,0.08,2674.186117,370.760196,64.85,2.57,32.58,843.58,DesignVariant5_Glazingratio90__Perspective.png,DesignVariant5_Glazingratio90__Parallel.png
Variant 1,95%,0.096,2490.883601,316.105296,62.8,7.16,30.04,564.25,DesignVariant1_Glazingratio95__Perspective.png,DesignVariant1_Glazingratio95__Parallel.png
Variant 2,95%,0.211,4260.581878,565.531032,67.12,6.88,26,631.74,DesignVariant2_Glazingratio95__Perspective.png,DesignVariant2_Glazingratio95__Parallel.png
Variant 3,95%,0.056,2231.204539,279.141559,61.96,6.4,31.64,535.81,DesignVariant3_Glazingratio95__Perspective.png,DesignVariant3_Glazingratio95__Parallel.png
Variant 4,95%,0.195,3965.812044,524.263211,67.63,6.66,25.72,611.64,DesignVariant4_Glazingratio95__Perspective.png,DesignVariant4_Glazingratio95__Parallel.png
Variant 5,95%,0.086,2823.684257,391.689935,64.49,3.03,32.49,874.03,DesignVariant5_Glazingratio95__Perspective.png,DesignVariant5_Glazingratio95__Parallel.png
